"fdp","power","fdp.1","power.1","FDP.Betac..m11_2.selected.","power.Betac..m11_2.selected..sum.Betac..","FDP.Betac..m11_3.selected.","power.Betac..m11_3.selected..sum.Betac.."
0.142857142857143,1,0,1,NaN,0,0.454545454545455,1
0,0.333333333333333,0,0.666666666666667,NaN,0,NaN,0
0,1,0,1,NaN,0,0,0.5
0,0.333333333333333,0.153846153846154,0.916666666666667,0.0769230769230769,1,0.2,1
0,0.5,0,0.666666666666667,NaN,0,1,0
0,0.333333333333333,0,0.416666666666667,NaN,0,0.4,0.5
0,1,0,1,NaN,0,0,1
0,0.833333333333333,0,1,NaN,0,NaN,0
0,0.666666666666667,0,1,NaN,0,0.4,0.5
0,0.5,0,0.833333333333333,0,1,0,1
0,0.583333333333333,0,0.916666666666667,NaN,0,1,0
0,0.5,0.142857142857143,0.5,0.4,0.5,0.4,0.5
0.142857142857143,1,0.25,1,NaN,0,0.333333333333333,1
0,0.666666666666667,0.142857142857143,1,NaN,0,NaN,0
0,1,0,1,0.7,0.5,0,0.5
0,0.75,0,0.916666666666667,0.142857142857143,1,0.4,1
0,0.333333333333333,0,0.833333333333333,NaN,0,NaN,0
0,0.25,0,0.5,NaN,0,0.142857142857143,0.5
0,0.833333333333333,0.142857142857143,1,NaN,0,0.142857142857143,1
0.333333333333333,0.333333333333333,0.25,1,NaN,0,NaN,0
0.333333333333333,1,0.4,1,NaN,0,0.4,0.5
0,0.916666666666667,0,1,0.142857142857143,1,0.142857142857143,1
0,0.25,0,0.5,NaN,0,1,0
0.166666666666667,0.416666666666667,0,0.666666666666667,NaN,0,0.5,0.5
0,1,0.142857142857143,1,NaN,0,0,1
0,0.833333333333333,0,0.833333333333333,NaN,0,NaN,0
0,0.666666666666667,0,1,NaN,0,0,0.5
0,0.666666666666667,0,0.833333333333333,0,1,0,1
0,0.5,0,0.666666666666667,NaN,0,NaN,0
0,0.5,0,0.583333333333333,NaN,0,0.25,0.5
0,1,0,1,NaN,0,0.25,1
0,0.166666666666667,0,0.5,NaN,0,NaN,0
0,0.5,0,1,NaN,0,0,0.5
0.2,0.666666666666667,0,0.833333333333333,0.142857142857143,1,0,1
0,0.166666666666667,0,0.5,NaN,0,NaN,0
0,0.5,0,0.5,NaN,0,0.4,0.5
0.142857142857143,1,0,1,NaN,0,0,1
0,0.333333333333333,0,0.666666666666667,NaN,0,NaN,0
0,0.833333333333333,0,1,NaN,0,0.5,0.5
0.0909090909090909,0.833333333333333,0.153846153846154,0.916666666666667,0,1,0.333333333333333,1
0,0.75,0,0.75,NaN,0,1,0
