"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
0.102,0.788,0.28,0.71,0.566,0.002,0.828,0.484,0.458,0.406,0.002,0.448,0.566,0.484,0.246,0.902,0.98,0.642,0.874,0.806,0.53,0.744,0.962,0.4,0.942,0.6,0.788,0.924,0.712,0.718,0.462,0.924,0.274,0.92,0.302,0.948,0.054,0.448,0.758,0.322,0.838,0.616,0.86,0.696,0.726,0.856,0.958,0.342,0.726,0.808
0.114,0.658,0.478,0.852,0.498,0.054,0.604,0.924,0.918,0.906,0.002,0.002,0.42,0.906,0.78,0.002,0.002,0.196,0.83,0.972,0.762,0.214,0.898,0.876,0.254,0.296,0.614,0.55,0.818,0.838,0.508,0.33,0.304,0.856,0.508,0.672,0.688,0.842,0.424,0.59,0.824,0.772,0.76,0.934,0.75,0.45,0.584,0.53,0.534,0.446
0.002,0.384,0.372,0.284,0.904,0.002,0.47,0.644,0.466,0.044,0.002,0.26,0.422,0.368,0.192,0.844,0.822,0.812,0.93,0.536,0.454,0.616,0.568,0.762,0.784,0.83,0.588,0.974,0.84,0.506,0.534,0.574,0.664,0.706,0.322,0.652,0.94,0.228,0.122,0.876,0.526,0.214,0.852,0.8,0.624,0.016,0.624,0.638,0.786,0.112
0.334,0.65,0.466,0.918,0.616,0.02,0.588,0.214,0.32,0.71,0.002,0.002,0.47,0.594,0.584,0.004,0.002,0.906,0.438,0.846,0.47,0.09,0.778,0.17,0.704,0.318,0.814,0.638,0.212,0.816,0.254,0.622,0.288,0.594,0.782,0.524,0.642,0.862,1,0.582,0.888,0.586,0.968,0.89,0.77,0.794,0.892,0.598,0.772,0.468
0.02,0.234,0.758,0.982,0.782,0.002,0.062,0.756,0.752,0.366,0.002,0.11,0.56,0.246,0.938,0.714,0.416,0.704,0.968,0.48,0.786,0.52,0.992,0.512,0.38,0.62,0.876,0.976,0.9,0.91,0.612,0.102,0.362,0.546,0.696,0.328,0.886,0.78,0.46,0.734,0.556,0.486,0.948,0.566,0.46,0.214,0.208,0.918,0.434,0.952
0.244,0.304,0.932,0.478,0.38,0.02,0.416,0.862,0.446,0.41,0.002,0.002,0.914,0.964,0.936,0.002,0.002,0.616,0.826,0.3,0.406,0.338,0.522,0.766,0.434,0.512,0.944,0.58,0.488,0.474,0.546,0.818,0.894,0.766,0.452,0.44,0.3,0.582,0.634,0.714,0.958,0.59,0.696,0.988,0.618,0.838,0.664,0.806,0.388,0.628
0.126,0.338,0.206,0.304,0.798,0.002,0.316,0.072,0.424,0.55,0.002,0.19,0.934,0.782,0.078,0.384,0.592,0.978,0.444,0.708,0.392,0.842,0.972,0.342,0.66,0.888,0.898,0.964,0.44,1,0.646,0.568,0.87,0.772,0.892,0.894,0.442,0.78,0.358,0.252,0.778,0.968,0.808,0.48,0.714,0.766,0.902,0.924,0.966,0.478
0.024,0.912,0.406,0.884,0.758,0.002,0.668,0.298,0.908,0.652,0.002,0.002,0.724,0.646,0.242,0.004,0.004,0.93,0.52,0.834,0.74,0.584,0.66,0.968,0.874,0.426,0.752,0.324,0.938,0.554,0.826,0.486,0.13,0.618,0.88,0.458,0.938,0.27,0.714,0.744,0.744,0.956,0.728,0.546,0.83,0.582,0.432,0.946,0.656,0.786
0.002,0.47,0.752,0.178,0.992,0.002,0.894,0.018,0.63,0.612,0.002,0.906,0.334,0.384,0.038,0.438,0.406,0.444,0.984,0.962,0.478,0.994,0.736,0.546,0.06,0.426,0.728,0.376,0.87,0.184,0.738,0.998,0.888,0.288,0.514,0.312,0.178,0.91,0.99,0.91,0.98,0.9,0.72,0.68,0.998,0.764,0.864,0.786,0.654,0.876
0.162,0.534,0.798,0.932,0.668,0.17,0.894,0.624,0.596,0.878,0.002,0.002,0.912,1,0.538,0.006,0.072,0.206,0.632,0.43,0.81,0.846,0.908,0.552,0.972,0.936,0.402,0.62,0.902,0.6,0.81,0.662,0.514,0.502,0.914,0.882,0.802,0.642,0.81,0.556,0.896,0.782,0.268,0.126,0.804,0.396,0.586,0.318,0.646,0.138
0.002,0.43,0.468,0.208,0.83,0.002,0.728,0.26,0.25,0.036,0.002,0.29,0.5,0.42,0.006,0.734,0.898,0.496,0.454,0.97,0.794,0.56,0.846,0.816,0.77,0.604,0.308,0.876,0.626,0.514,0.648,0.5,0.726,0.682,0.988,0.872,0.49,0.868,0.95,0.69,0.996,0.978,0.998,0.624,0.588,0.852,0.496,0.38,0.982,0.804
0.25,0.892,0.748,0.652,0.852,0.054,0.52,0.71,0.874,0.924,0.002,0.002,0.732,0.958,0.664,0.062,0.002,0.466,0.846,0.996,0.898,0.86,0.654,0.61,0.79,0.592,0.952,0.482,0.472,0.558,0.374,0.876,0.13,0.932,0.676,0.964,0.902,0.774,0.94,0.862,0.836,0.726,0.664,0.96,0.676,0.554,0.964,0.52,0.976,0.862
0.046,0.794,0.44,0.808,0.218,0.002,0.534,0.904,0.052,0.814,0.002,0.6,0.524,0.354,0.674,0.468,0.716,0.57,0.318,0.694,0.924,0.874,0.95,0.394,0.708,0.922,0.986,0.578,0.916,0.586,0.46,0.84,0.716,0.694,0.818,0.454,0.892,0.36,0.948,0.964,0.49,0.78,0.75,0.106,0.608,0.958,0.532,0.806,0.694,0.464
0.282,0.658,0.54,0.816,0.27,0.002,0.686,0.43,0.728,0.61,0.004,0.002,0.514,0.944,0.942,0.002,0.002,0.726,0.816,0.33,0.856,0.452,0.45,0.842,0.882,0.26,0.884,0.43,0.764,0.824,0.484,0.864,0.868,0.92,0.782,0.556,0.834,0.726,0.534,0.944,0.782,0.68,0.64,0.744,0.896,0.792,0.946,0.304,0.71,0.944
0.018,0.95,0.924,0.99,0.358,0.002,0.668,0.136,0.184,0.292,0.002,0.352,0.806,0.876,0.404,0.916,0.504,0.892,0.664,0.946,0.792,0.54,0.802,0.782,0.298,0.612,0.756,0.202,0.46,0.244,0.798,0.722,0.88,0.718,0.748,0.24,0.538,0.674,0.678,0.136,0.342,0.39,0.282,0.946,0.95,0.99,0.562,0.654,0.828,0.832
0.042,0.856,0.572,0.322,0.3,0.044,0.674,0.4,0.186,0.334,0.002,0.002,0.91,0.586,0.958,0.018,0.006,0.986,0.826,0.912,0.536,0.976,0.28,0.294,0.376,0.98,0.818,0.822,0.558,0.732,0.752,0.298,0.904,0.454,0.594,0.764,0.33,0.392,0.98,0.586,0.952,0.974,0.694,0.506,0.886,0.65,0.944,0.278,0.954,0.974
0.004,0.428,0.184,0.804,0.958,0.002,0.52,0.266,0.438,0.288,0.002,0.464,0.468,0.254,0.06,0.384,0.69,0.476,0.648,0.614,0.626,0.758,0.422,0.55,0.606,0.85,0.886,0.506,0.848,0.614,0.908,0.754,0.312,0.962,0.962,0.564,0.496,0.928,0.538,0.834,0.412,0.598,0.372,0.948,0.454,0.99,0.662,0.67,0.822,0.758
0.022,0.436,0.714,0.608,0.964,0.01,0.786,0.22,0.652,0.422,0.002,0.002,0.778,0.938,0.422,0.002,0.002,0.704,0.5,0.71,0.858,0.616,0.828,0.996,0.422,0.602,0.74,0.806,0.522,0.93,0.65,0.23,0.942,0.6,0.41,0.736,0.826,0.792,0.55,0.774,0.866,0.95,0.786,0.93,0.71,0.828,0.462,0.498,0.772,0.622
0.002,0.144,0.062,0.994,0.59,0.002,0.08,0.086,0.52,0.206,0.002,0.064,0.656,0.036,0.25,0.19,0.094,0.886,0.932,0.868,0.052,0.876,0.794,0.516,0.764,0.2,0.57,0.594,0.326,0.436,0.824,0.012,0.3,0.994,0.442,0.726,0.842,0.886,0.97,0.938,0.822,0.302,0.862,0.426,0.336,0.976,0.072,0.964,0.182,0.938
0.01,0.592,0.884,0.126,0.658,0.178,0.334,0.882,0.744,0.746,0.002,0.002,0.712,0.456,0.81,0.002,0.002,0.646,0.384,0.406,0.42,0.492,0.476,0.928,0.988,0.416,0.726,0.864,0.804,0.544,0.978,0.61,0.806,0.896,0.85,0.512,0.9,0.668,0.804,0.704,0.172,0.792,0.432,0.554,0.558,0.614,0.854,0.814,0.506,0.804
0.014,0.774,0.22,0.074,0.364,0.002,0.318,0.098,0.47,0.674,0.002,0.844,0.46,0.208,0.718,0.53,0.718,0.794,0.484,0.454,0.412,0.492,0.846,0.87,0.994,0.874,0.84,0.926,0.954,0.642,0.73,0.946,0.264,0.794,0.522,0.304,0.714,0.766,0.904,0.438,0.85,0.642,0.936,0.498,0.744,0.544,0.594,0.918,0.914,0.798
0.348,0.924,0.596,0.842,0.678,0.016,0.51,0.68,0.926,0.532,0.002,0.002,0.968,1,0.348,0.004,0.002,0.948,0.244,0.89,0.81,0.38,0.49,0.698,0.588,0.9,0.374,0.396,0.624,0.974,0.868,0.732,0.554,0.864,0.558,0.36,0.682,0.27,0.816,0.932,0.508,0.848,0.748,0.742,0.622,0.776,0.982,0.78,0.326,0.796
0.002,0.284,0.752,0.114,0.026,0.002,0.656,0.272,0.798,0.478,0.002,0.252,0.188,0.574,0.334,0.762,0.782,0.892,0.724,0.812,0.934,0.692,0.72,0.796,0.742,0.486,0.8,0.736,0.676,0.3,0.24,0.462,0.182,0.87,0.316,0.224,0.72,0.79,0.996,1,0.686,0.53,0.338,0.652,0.582,0.86,0.65,0.678,0.71,0.982
0.48,0.684,0.526,0.74,0.75,0.012,0.224,0.692,0.436,0.932,0.002,0.002,0.886,0.4,0.784,0.004,0.002,0.536,0.932,0.702,0.852,0.866,0.498,0.922,0.324,0.744,0.538,0.35,0.988,0.612,0.498,0.982,0.458,0.42,1,0.824,0.238,0.938,0.23,0.398,0.564,0.802,0.342,0.732,0.862,0.72,0.758,0.922,0.358,0.772
0.002,0.23,0.33,0.51,0.984,0.002,0.258,0.29,0.064,0.098,0.002,0.62,0.124,0.394,0.232,0.858,0.55,0.616,0.964,0.714,0.702,0.436,0.516,0.806,0.3,0.894,0.94,0.4,0.262,0.976,0.96,0.878,0.444,0.208,0.61,0.886,0.572,0.89,0.43,0.324,0.826,0.924,0.968,0.962,0.832,0.886,0.674,0.464,0.754,0.946
0.238,0.772,0.538,0.598,0.528,0.006,0.438,0.49,0.456,0.504,0.002,0.002,0.558,0.892,0.972,0.056,0.002,0.714,0.74,0.956,0.892,0.514,0.264,0.818,0.716,0.976,0.992,0.726,0.688,0.862,0.602,0.962,0.674,0.894,0.648,0.95,0.574,0.42,0.93,0.51,0.738,0.538,0.914,0.688,0.82,0.632,0.534,0.912,0.666,0.57
0.012,0.536,0.924,0.702,0.872,0.002,0.578,0.734,0.114,0.248,0.002,0.442,0.662,0.958,0.65,0.532,0.618,0.882,0.822,0.986,0.81,0.93,0.974,0.888,0.4,0.806,0.924,0.672,0.746,0.204,0.456,0.588,0.934,0.762,0.188,0.75,0.958,0.68,0.862,0.734,0.704,0.906,0.906,0.83,0.414,0.558,0.49,0.914,0.576,0.644
0.286,0.492,0.554,0.356,0.902,0.006,0.822,0.616,0.966,0.324,0.002,0.002,0.838,0.516,0.54,0.002,0.002,0.35,0.382,0.544,0.902,0.534,0.674,0.764,0.292,0.62,0.566,0.656,0.758,0.534,0.988,0.906,0.376,0.546,0.59,0.816,0.372,0.658,0.854,0.712,0.88,0.462,0.942,0.398,0.922,0.928,0.53,0.538,0.768,0.478
0.032,0.454,0.09,0.93,0.592,0.002,0.316,0.382,0.148,0.586,0.002,0.608,0.828,0.6,0.782,0.896,0.782,0.948,0.984,0.716,0.554,0.978,0.534,0.964,0.776,0.872,0.718,0.934,0.398,0.614,0.986,0.876,0.92,0.998,0.688,0.91,1,0.728,0.928,0.33,0.73,0.38,0.552,0.666,0.93,0.754,0.744,0.758,0.53,0.724
0.442,0.566,0.966,0.6,0.934,0.04,0.622,0.806,0.932,0.54,0.004,0.002,0.41,0.806,0.88,0.012,0.002,0.392,0.644,0.448,0.946,0.814,0.574,0.78,0.482,0.872,0.862,0.832,0.974,0.65,0.932,0.776,0.77,0.78,0.736,0.912,0.648,0.748,0.386,0.698,0.55,0.618,0.78,0.202,0.944,0.504,0.424,0.892,0.986,0.5
0.002,0.282,0.59,0.45,0.218,0.002,0.19,0.016,0.326,0.678,0.002,0.562,0.322,0.77,0.132,0.314,0.798,0.372,0.894,0.622,0.85,0.616,0.982,0.948,0.966,0.968,0.826,0.882,0.132,0.838,0.602,0.69,0.712,0.794,0.84,0.258,0.594,0.846,0.674,0.518,0.442,0.156,0.654,0.054,0.55,0.902,0.894,0.628,0.96,0.584
0.198,0.652,0.864,0.298,0.812,0.006,0.88,0.934,0.384,0.542,0.002,0.004,0.602,0.502,0.824,0.014,0.006,0.912,0.69,0.422,0.11,0.652,0.602,0.528,0.762,0.996,0.832,0.808,0.954,0.7,0.448,0.858,0.966,0.37,0.626,0.55,0.156,0.906,0.8,0.834,0.962,0.496,0.496,0.688,0.902,0.564,0.506,0.44,0.962,0.606
0.004,0.09,0.474,0.388,0.542,0.002,0.282,0.528,0.168,0.268,0.002,0.546,0.606,0.568,0.166,0.67,0.682,0.866,0.93,0.74,0.968,0.76,0.706,0.936,0.896,0.798,0.614,0.968,0.91,0.81,0.392,0.496,0.946,0.892,0.44,0.902,0.234,0.778,0.506,0.988,0.084,0.972,0.552,0.71,0.282,0.956,0.326,0.514,0.96,0.534
0.064,0.852,0.504,0.262,0.808,0.002,0.17,0.66,0.56,0.776,0.002,0.002,0.404,0.738,0.364,0.002,0.002,0.618,0.89,0.686,0.932,0.908,0.526,0.84,0.508,0.516,0.556,0.852,0.766,0.42,0.954,0.786,0.786,0.686,0.37,0.656,0.826,0.96,0.512,0.682,0.914,0.698,0.266,0.69,0.414,0.866,0.946,0.782,0.954,0.448
